date,payee,category,amount
2026-02-04 14:50:00,Landlord - PG,Rent,-8000.0
2026-02-05 07:24:00,PharmEasy,Health,-3624.41
2026-02-05 09:43:00,Zerodha,Investments,-1261.06
2026-02-05 20:13:00,Landlord - PG,Rent,-8000.0
2026-02-06 10:42:00,Landlord - PG,Rent,-8000.0
2026-02-12 16:29:00,Netflix,Entertainment,-313.82
2026-02-13 08:43:00,PharmEasy,Health,-1514.05
2026-02-14 20:11:00,Electricity Board,Bills & Utilities,-813.56
2026-02-15 10:59:00,Swiggy,Food & Dining,-599.21
2026-02-15 13:18:00,Zerodha,Investments,-6787.78
2026-02-15 13:55:00,Wifi Broadband,Bills & Utilities,-749.04
2026-02-16 10:15:00,BookMyShow,Entertainment,-493.29
2026-02-16 12:03:00,Domino's,Food & Dining,-588.13
2026-02-17 11:42:00,DMart,Groceries,-2449.36
2026-02-18 08:39:00,Electricity Board,Bills & Utilities,-1390.19
2026-02-18 15:13:00,Local Kirana Store,Groceries,-1164.22
2026-02-18 17:03:00,Airtel Postpaid,Bills & Utilities,-2915.52
2026-02-20 09:59:00,Zerodha,Investments,-1430.13
2026-02-22 16:25:00,Zerodha,Investments,-7675.02
2026-02-23 10:15:00,Local Kirana Store,Groceries,-339.41
2026-02-25 16:27:00,Local Market,Shopping,-4647.29
2026-02-26 14:03:00,BookMyShow,Entertainment,-889.85
2026-02-27 21:51:00,Amazon,Shopping,-2420.61
2026-03-03 10:00:00,Freelance Client - Pazi.ai,Freelance Income,17981.45
2026-03-03 11:00:00,Family Transfer,Transfers/P2P,4988.29
2026-03-05 08:54:00,Petrol Pump,Transport,-478.8
2026-03-06 10:56:00,Local Kirana Store,Groceries,-2359.54
2026-03-06 16:38:00,Local Kirana Store,Groceries,-1907.56
2026-03-07 14:05:00,Unknown UPI ID - task9284@ybl,Uncategorized,-1.0
2026-03-07 14:11:00,Unknown UPI ID - task9284@ybl,Uncategorized,-4999.0
2026-03-08 22:16:00,Jio Recharge,Bills & Utilities,-2237.55
2026-03-10 10:38:00,Amazon,Shopping,-1057.13
2026-03-10 18:56:00,Zerodha,Investments,-2524.97
2026-03-12 14:17:00,Petrol Pump,Transport,-449.84
2026-03-13 11:59:00,Wifi Broadband,Bills & Utilities,-2100.72
2026-03-13 12:28:00,Local Kirana Store,Groceries,-2222.32
2026-03-13 18:13:00,Ola,Transport,-53.84
2026-03-15 08:00:00,Chai Point,Food & Dining,-219.22
2026-03-15 10:04:00,Landlord - PG,Rent,-8000.0
2026-03-21 16:59:00,Zerodha,Investments,-7183.63
2026-03-22 12:47:00,BookMyShow,Entertainment,-793.01
2026-03-23 19:21:00,Electricity Board,Bills & Utilities,-901.89
2026-03-26 18:41:00,Flipkart,Shopping,-4348.89
2026-03-27 20:01:00,Electricity Board,Bills & Utilities,-2634.44
2026-03-27 20:38:00,PharmEasy,Health,-1480.9
2026-03-28 07:07:00,Groww SIP,Investments,-4296.94
2026-03-28 11:27:00,Metro Card Recharge,Transport,-340.99
2026-03-28 18:19:00,Landlord - PG,Rent,-8000.0
2026-04-02 10:00:00,Freelance Client - Pazi.ai,Freelance Income,17810.83
2026-04-02 11:00:00,Family Transfer,Transfers/P2P,2346.94
2026-04-06 16:25:00,Local Clinic,Health,-2757.67
2026-04-08 11:01:00,Electricity Board,Bills & Utilities,-2116.55
2026-04-08 21:03:00,DMart,Groceries,-1990.37
2026-04-08 21:04:00,Groww SIP,Investments,-5103.67
2026-04-10 13:27:00,Groww SIP,Investments,-8420.39
2026-04-10 20:20:00,Local Kirana Store,Groceries,-1855.43
2026-04-11 09:08:00,Flipkart,Shopping,-1325.57
2026-04-11 19:00:00,Amazon,Shopping,-22000.0
2026-04-13 19:30:00,Airtel Postpaid,Bills & Utilities,-2548.81
2026-04-14 13:23:00,Amazon,Shopping,-413.06
2026-04-15 13:32:00,Spotify,Entertainment,-517.49
2026-04-16 09:29:00,Domino's,Food & Dining,-333.63
2026-04-18 12:47:00,Groww SIP,Investments,-4554.04
2026-04-18 13:26:00,Apollo Pharmacy,Health,-2834.25
2026-04-18 20:03:00,PharmEasy,Health,-1719.26
2026-04-18 21:39:00,Landlord - PG,Rent,-8000.0
2026-04-19 19:31:00,Apollo Pharmacy,Health,-3561.63
2026-04-20 09:52:00,Groww SIP,Investments,-6806.61
2026-04-21 07:57:00,Local Clinic,Health,-1089.34
2026-04-22 17:42:00,PharmEasy,Health,-419.4
2026-04-23 13:04:00,Uber,Transport,-161.82
2026-04-25 15:49:00,Landlord - PG,Rent,-8000.0
2026-04-26 09:18:00,Landlord - PG,Rent,-8000.0
2026-04-28 21:08:00,Zerodha,Investments,-2867.38
2026-05-02 10:00:00,Freelance Client - Pazi.ai,Freelance Income,6070.75
2026-05-02 11:00:00,Family Transfer,Transfers/P2P,3055.28
2026-05-03 21:15:00,Jio Recharge,Bills & Utilities,-2542.97
2026-05-04 18:40:00,PharmEasy,Health,-3315.97
2026-05-06 12:19:00,Amazon,Shopping,-3881.11
2026-05-06 13:22:00,Landlord - PG,Rent,-8000.0
2026-05-08 14:19:00,Campus Canteen,Food & Dining,-219.79
2026-05-10 19:45:00,Blinkit,Groceries,-1530.97
2026-05-12 17:00:00,Zerodha,Investments,-4569.59
2026-05-13 09:41:00,Zerodha,Investments,-756.18
2026-05-14 15:39:00,Landlord - PG,Rent,-8000.0
2026-05-15 08:16:00,Apollo Pharmacy,Health,-672.44
2026-05-15 15:20:00,Groww SIP,Investments,-7859.09
2026-05-15 17:48:00,PharmEasy,Health,-1410.31
2026-05-16 19:21:00,Airtel Postpaid,Bills & Utilities,-1036.93
2026-05-19 21:44:00,Landlord - PG,Rent,-8000.0
2026-05-20 07:33:00,Flipkart,Shopping,-1833.63
2026-05-20 08:22:00,Amazon,Shopping,-4281.41
2026-05-20 14:08:00,Electricity Board,Bills & Utilities,-2565.92
2026-05-21 07:15:00,BigBasket,Groceries,-1996.84
2026-05-21 21:50:00,Wifi Broadband,Bills & Utilities,-2164.65
2026-05-22 17:01:00,Landlord - PG,Rent,-8000.0
2026-05-23 10:44:00,Electricity Board,Bills & Utilities,-505.19
2026-05-24 14:31:00,Local Clinic,Health,-2222.15
2026-05-24 18:14:00,BigBasket,Groceries,-1281.71
2026-05-24 22:35:00,Wifi Broadband,Bills & Utilities,-531.15
2026-05-27 11:39:00,PharmEasy,Health,-2938.1
2026-05-27 15:53:00,PharmEasy,Health,-1221.29
2026-05-31 14:43:00,Netflix,Entertainment,-642.34
2026-06-01 10:00:00,Freelance Client - Pazi.ai,Freelance Income,13967.52
2026-06-01 11:00:00,Family Transfer,Transfers/P2P,3107.06
2026-06-01 16:44:00,Zerodha,Investments,-1702.54
2026-06-02 11:09:00,BigBasket,Groceries,-1121.63
2026-06-02 15:20:00,Groww SIP,Investments,-848.62
2026-06-02 20:47:00,Zerodha,Investments,-5191.05
2026-06-05 16:28:00,Metro Card Recharge,Transport,-70.7
2026-06-05 20:28:00,Ola,Transport,-344.64
2026-06-07 13:27:00,Landlord - PG,Rent,-8000.0
2026-06-07 16:44:00,Landlord - PG,Rent,-8000.0
2026-06-07 20:38:00,Amazon,Shopping,-608.87
2026-06-08 10:46:00,Landlord - PG,Rent,-8000.0
2026-06-08 10:52:00,Petrol Pump,Transport,-580.33
2026-06-08 12:15:00,Airtel Postpaid,Bills & Utilities,-1988.89
2026-06-09 15:32:00,Blinkit,Groceries,-1278.01
2026-06-09 19:52:00,Local Clinic,Health,-2820.64
2026-06-11 16:00:00,Electricity Board,Bills & Utilities,-1099.87
2026-06-12 21:19:00,Wifi Broadband,Bills & Utilities,-2394.37
2026-06-15 21:21:00,Campus Canteen,Food & Dining,-580.55
2026-06-15 22:22:00,Apollo Pharmacy,Health,-2593.92
2026-06-18 10:53:00,Landlord - PG,Rent,-8000.0
2026-06-19 10:48:00,Apollo Pharmacy,Health,-1325.71
2026-06-20 15:11:00,Petrol Pump,Transport,-298.19
2026-06-20 15:52:00,DMart,Groceries,-1452.49
2026-06-21 08:48:00,Chai Point,Food & Dining,-899.68
2026-06-21 12:21:00,Apollo Pharmacy,Health,-1433.24
2026-06-23 13:13:00,Electricity Board,Bills & Utilities,-1151.98
2026-06-23 18:44:00,Groww SIP,Investments,-3765.7
2026-06-24 10:55:00,Petrol Pump,Transport,-393.59
